sensor_time,sensor_group,lat,long,temperature,distance
2021-01-01 00:00:00,NEW_YORK,40.3660,-73.6973,-5.1353,46.5524
2021-01-01 00:01:00,NEW_YORK,40.6873,-73.6878,-5.4501,26.9719
2021-01-01 00:02:00,NEW_YORK,41.0520,-74.3149,-4.0907,45.8021
2021-01-01 00:03:00,NEW_YORK,41.0511,-74.0877,-5.1921,38.2474
2021-01-01 00:04:00,NEW_YORK,40.7607,-73.8107,-4.9928,17.2942
2021-01-01 00:05:00,NEW_YORK,40.5695,-74.0102,-5.3469,15.9252
2021-01-01 00:06:00,NEW_YORK,40.7785,-74.4032,-5.8111,34.2456
2021-01-01 00:07:00,NEW_YORK,40.8669,-74.0517,-4.4122,17.5716
2021-01-01 00:08:00,NEW_YORK,40.6307,-74.1655,-4.4041,16.2529
2021-01-01 00:09:00,NEW_YORK,41.2047,-73.7746,-5.6896,58.0583
2021-01-01 00:10:00,NEW_YORK,40.7716,-73.8936,-4.4611,11.5132
2021-01-01 00:11:00,NEW_YORK,40.4078,-73.8908,-4.0354,35.2751
2021-01-01 00:12:00,NEW_YORK,40.3309,-73.6570,-4.7447,51.6974
2021-01-01 00:13:00,NEW_YORK,40.8892,-73.9264,-3.6820,20.7336
2021-01-01 00:14:00,NEW_YORK,40.3470,-74.1779,-4.5079,43.1834
2021-01-01 00:15:00,NEW_YORK,40.9058,-73.6807,-5.5077,34.7938
2021-01-01 00:16:00,NEW_YORK,40.5036,-73.8872,-5.2644,25.3243
2021-01-01 00:17:00,NEW_YORK,40.7891,-74.3878,-4.9451,33.2661
2021-01-01 00:18:00,NEW_YORK,40.4832,-73.9733,-5.1110,25.6688
2021-01-01 00:19:00,NEW_YORK,40.6026,-74.2640,-4.7902,24.9752
2021-01-01 00:20:00,NEW_YORK,40.3060,-74.0714,-5.2993,45.5615
2021-01-01 00:21:00,NEW_YORK,40.3024,-73.6450,-3.6501,54.8938
2021-01-01 00:22:00,NEW_YORK,40.7717,-73.9119,-4.4337,10.2891
2021-01-01 00:23:00,NEW_YORK,40.7495,-74.0370,-4.8134,4.8571
2021-01-01 00:24:00,NEW_YORK,40.7618,-73.8702,-5.1317,12.6754
2021-01-01 00:25:00,NEW_YORK,40.8665,-73.7027,-4.9368,30.7309
2021-01-01 00:26:00,NEW_YORK,40.8313,-73.6220,-5.6626,34.9211
2021-01-01 00:27:00,NEW_YORK,40.7473,-74.0922,-4.3993,8.2114
2021-01-01 00:28:00,NEW_YORK,40.8271,-73.7835,-4.6428,22.6447
2021-01-01 00:29:00,NEW_YORK,40.7283,-73.8396,-4.7393,14.1326
2021-01-01 00:30:00,NEW_YORK,40.9220,-74.0180,-5.3397,23.2885
2021-01-01 00:31:00,NEW_YORK,40.8060,-74.2257,-5.1004,21.2090
2021-01-01 00:32:00,NEW_YORK,40.6254,-74.2128,-4.3150,19.9599
2021-01-01 00:33:00,NEW_YORK,40.5230,-73.9077,-5.2325,22.6721
2021-01-01 00:34:00,NEW_YORK,40.4887,-73.9889,-4.1027,24.9553
2021-01-01 00:35:00,NEW_YORK,40.4366,-73.8275,-5.0890,34.2102
2021-01-01 00:36:00,NEW_YORK,40.3897,-74.1970,-4.3648,39.3804
2021-01-01 00:37:00,NEW_YORK,40.8052,-74.1624,-5.2347,16.7057
2021-01-01 00:38:00,NEW_YORK,41.0838,-74.0208,-5.4394,41.2782
2021-01-01 00:39:00,NEW_YORK,40.6052,-73.6920,-4.0757,29.0654
2021-01-01 00:40:00,NEW_YORK,40.6869,-74.0191,-3.7993,3.0775
2021-01-01 00:41:00,NEW_YORK,40.9572,-74.4587,-4.6351,46.7911
2021-01-01 00:42:00,NEW_YORK,40.4333,-74.4604,-4.3573,49.3772
2021-01-01 00:43:00,NEW_YORK,40.4182,-73.9453,-4.8505,33.1486
2021-01-01 00:44:00,NEW_YORK,40.8330,-74.2903,-4.2966,27.4183
2021-01-01 00:45:00,NEW_YORK,40.5535,-74.0602,-4.5575,18.2836
2021-01-01 00:46:00,NEW_YORK,41.0711,-74.2345,-4.6431,44.2322
2021-01-01 00:47:00,NEW_YORK,40.5244,-74.0631,-3.8397,21.4893
2021-01-01 00:48:00,NEW_YORK,41.0557,-73.7509,-4.3827,43.7555
2021-01-01 00:49:00,NEW_YORK,41.1059,-74.1436,-4.8665,45.2220
2021-01-01 00:50:00,NEW_YORK,40.7081,-74.0516,-4.3094,3.8804
2021-01-01 00:51:00,NEW_YORK,40.3425,-74.0076,-3.7677,41.1696
2021-01-01 00:52:00,NEW_YORK,41.0239,-74.2060,-4.6978,38.4732
2021-01-01 00:53:00,NEW_YORK,40.6211,-74.0936,-4.9557,12.5832
2021-01-01 00:54:00,NEW_YORK,40.8540,-73.6918,-4.2791,30.7711
2021-01-01 00:55:00,NEW_YORK,40.7138,-74.0376,-4.4990,2.6685
2021-01-01 00:56:00,NEW_YORK,40.9674,-74.1412,-4.1162,30.5199
2021-01-01 00:57:00,NEW_YORK,40.6563,-73.7724,-4.4784,20.6763
2021-01-01 00:58:00,NEW_YORK,40.8416,-73.8108,-4.5804,21.8081
2021-01-01 00:59:00,NEW_YORK,40.5819,-74.3086,-4.4290,29.3774
2021-01-01 01:00:00,NEW_YORK,40.2416,-74.0631,-4.6862,52.6065
2021-01-01 01:01:00,NEW_YORK,40.9145,-73.7272,-4.2087,32.4627
2021-01-01 01:02:00,NEW_YORK,41.0596,-74.0328,-3.6116,38.6311
2021-01-01 01:03:00,NEW_YORK,40.4109,-73.9353,-4.4608,34.0938
2021-01-01 01:04:00,NEW_YORK,40.9039,-74.2715,-5.1153,30.8407
2021-01-01 01:05:00,NEW_YORK,41.1208,-74.0582,-3.6308,45.5896
2021-01-01 01:06:00,NEW_YORK,40.7936,-74.1824,-4.9434,17.3663
2021-01-01 01:07:00,NEW_YORK,40.5050,-74.2620,-3.9078,31.6245
2021-01-01 01:08:00,NEW_YORK,40.0881,-74.2745,-3.8274,73.0870
2021-01-01 01:09:00,NEW_YORK,40.7292,-73.7024,-5.0138,25.6541
2021-01-01 01:10:00,NEW_YORK,40.9766,-73.8531,-4.0029,32.0324
2021-01-01 01:11:00,NEW_YORK,40.6604,-74.2281,-4.0742,19.6068
2021-01-01 01:12:00,NEW_YORK,41.0867,-73.9779,-2.9407,41.6517
2021-01-01 01:13:00,NEW_YORK,40.1941,-73.9140,-3.7144,58.1877
2021-01-01 01:14:00,NEW_YORK,41.0642,-74.2308,-4.1274,43.4125
2021-01-01 01:15:00,NEW_YORK,40.5974,-73.7115,-3.3456,27.9567
2021-01-01 01:16:00,NEW_YORK,40.8904,-74.0621,-3.6664,20.3090
2021-01-01 01:17:00,NEW_YORK,40.5505,-74.2140,-3.3190,25.1689
2021-01-01 01:18:00,NEW_YORK,41.1384,-74.1396,-3.1792,48.6498
2021-01-01 01:19:00,NEW_YORK,40.5230,-74.2334,-4.0346,28.5207
2021-01-01 01:20:00,NEW_YORK,40.6217,-74.0429,-4.1727,10.5872
2021-01-01 01:21:00,NEW_YORK,40.6390,-73.8322,-4.4526,16.7961
2021-01-01 01:22:00,NEW_YORK,40.8152,-74.1783,-4.5499,18.4482
2021-01-01 01:23:00,NEW_YORK,40.8227,-74.2017,-3.6635,20.5218
2021-01-01 01:24:00,NEW_YORK,40.5845,-74.2650,-3.5135,26.0905
2021-01-01 01:25:00,NEW_YORK,40.9628,-73.9461,-4.0507,28.2617
2021-01-01 01:26:00,NEW_YORK,40.5250,-74.4172,-3.3181,40.5019
2021-01-01 01:27:00,NEW_YORK,40.7144,-73.9683,-3.7039,3.1836
2021-01-01 01:28:00,NEW_YORK,40.9005,-74.0257,-3.6815,20.9417
2021-01-01 01:29:00,NEW_YORK,40.7823,-73.4681,-3.0346,45.9731
2021-01-01 01:30:00,NEW_YORK,40.7727,-74.2095,-3.2965,18.3933
2021-01-01 01:31:00,NEW_YORK,40.9009,-74.1907,-4.3133,26.0642
2021-01-01 01:32:00,NEW_YORK,41.2556,-73.7466,-3.3714,64.1706
2021-01-01 01:33:00,NEW_YORK,40.5837,-74.0052,-2.9900,14.3501
2021-01-01 01:34:00,NEW_YORK,40.1564,-73.7088,-3.7845,66.7852
2021-01-01 01:35:00,NEW_YORK,40.9254,-74.0784,-3.0378,24.4224
2021-01-01 01:36:00,NEW_YORK,40.8690,-73.6360,-4.0393,35.6652
2021-01-01 01:37:00,NEW_YORK,40.5638,-73.9206,-4.0331,18.0611
2021-01-01 01:38:00,NEW_YORK,40.5534,-73.7947,-3.5658,25.1339
2021-01-01 01:39:00,NEW_YORK,41.0455,-74.0597,-3.7587,37.2813
2021-01-01 01:40:00,NEW_YORK,40.9087,-73.9441,-3.7487,22.4079
2021-01-01 01:41:00,NEW_YORK,40.6216,-74.2901,-4.6005,26.0119
2021-01-01 01:42:00,NEW_YORK,40.4479,-74.1715,-2.9828,32.5978
2021-01-01 01:43:00,NEW_YORK,40.9192,-74.0094,-4.2369,22.9655
2021-01-01 01:44:00,NEW_YORK,40.2271,-73.9677,-3.4734,54.0986
2021-01-01 01:45:00,NEW_YORK,40.7839,-73.7871,-3.6542,20.0696
2021-01-01 01:46:00,NEW_YORK,40.5202,-74.3845,-4.2718,38.4522
2021-01-01 01:47:00,NEW_YORK,40.6678,-74.1938,-4.2711,16.5988
2021-01-01 01:48:00,NEW_YORK,40.8752,-74.3256,-3.7092,32.4091
2021-01-01 01:49:00,NEW_YORK,40.7219,-74.2033,-4.9296,16.6609
2021-01-01 01:50:00,NEW_YORK,40.9722,-74.0136,-3.9344,28.8543
2021-01-01 01:51:00,NEW_YORK,40.4894,-73.8969,-4.0410,26.4846
2021-01-01 01:52:00,NEW_YORK,40.9623,-73.8402,-4.1559,31.0641
2021-01-01 01:53:00,NEW_YORK,41.0510,-74.5073,-4.3403,56.4883
2021-01-01 01:54:00,NEW_YORK,40.9930,-73.8677,-3.3719,33.2636
2021-01-01 01:55:00,NEW_YORK,40.8093,-73.9938,-3.9565,10.7874
2021-01-01 01:56:00,NEW_YORK,40.5872,-73.8609,-3.4906,18.5678
2021-01-01 01:57:00,NEW_YORK,40.7945,-73.8618,-3.6039,15.1796
2021-01-01 01:58:00,NEW_YORK,40.5622,-74.3324,-4.1866,32.2284
2021-01-01 01:59:00,NEW_YORK,40.6821,-74.1606,-4.1207,13.4684
2021-01-01 02:00:00,NEW_YORK,40.6611,-73.4994,-2.4862,43.0991
2021-01-01 02:01:00,NEW_YORK,40.6560,-74.2677,-3.7559,22.9512
2021-01-01 02:02:00,NEW_YORK,40.4105,-74.0661,-3.9370,33.9877
2021-01-01 02:03:00,NEW_YORK,40.2550,-74.0596,-4.0652,51.0934
2021-01-01 02:04:00,NEW_YORK,40.5041,-74.0192,-4.4167,23.2205
2021-01-01 02:05:00,NEW_YORK,40.7517,-74.0580,-4.2551,6.1658
2021-01-01 02:06:00,NEW_YORK,40.6494,-73.7623,-3.4850,21.7279
2021-01-01 02:07:00,NEW_YORK,41.6538,-73.7226,-3.3922,107.2942
2021-01-01 02:08:00,NEW_YORK,40.8867,-73.7059,-3.5784,31.8155
2021-01-01 02:09:00,NEW_YORK,41.1361,-74.2148,-4.0368,50.2411
2021-01-01 02:10:00,NEW_YORK,40.8188,-74.2953,-3.6943,27.0692
2021-01-01 02:11:00,NEW_YORK,40.8325,-73.4260,-3.0865,50.6263
2021-01-01 02:12:00,NEW_YORK,40.4786,-73.8702,-3.7664,28.4532
2021-01-01 02:13:00,NEW_YORK,40.7549,-73.9049,-3.2315,9.7229
2021-01-01 02:14:00,NEW_YORK,40.8548,-74.1298,-3.9850,18.9283
2021-01-01 02:15:00,NEW_YORK,40.7793,-74.2191,-3.3842,19.4159
2021-01-01 02:16:00,NEW_YORK,40.7527,-74.2882,-2.8039,24.1841
2021-01-01 02:17:00,NEW_YORK,40.5615,-73.8511,-3.0713,21.2997
2021-01-01 02:18:00,NEW_YORK,39.9945,-73.9784,-3.2007,79.8959
2021-01-01 02:19:00,NEW_YORK,40.5837,-73.6596,-2.6243,32.5564
2021-01-01 02:20:00,NEW_YORK,40.8571,-74.0872,-1.9202,17.4521
2021-01-01 02:21:00,NEW_YORK,40.9331,-74.2999,-2.8714,34.8095
2021-01-01 02:22:00,NEW_YORK,40.7980,-74.1273,-3.5182,13.9398
2021-01-01 02:23:00,NEW_YORK,40.8152,-74.5293,-3.1816,45.5173
2021-01-01 02:24:00,NEW_YORK,40.7421,-74.2595,-3.7378,21.6110
2021-01-01 02:25:00,NEW_YORK,40.3667,-74.2860,-3.7470,45.1622
2021-01-01 02:26:00,NEW_YORK,40.7390,-73.7310,-2.9105,23.3589
2021-01-01 02:27:00,NEW_YORK,40.6067,-73.8651,-2.1637,16.7423
2021-01-01 02:28:00,NEW_YORK,40.5626,-73.7968,-3.2538,24.2941
2021-01-01 02:29:00,NEW_YORK,40.9275,-73.9273,-2.9734,24.7799
2021-01-01 02:30:00,NEW_YORK,41.0469,-73.8911,-3.1397,38.3960
2021-01-01 02:31:00,NEW_YORK,40.6916,-73.9969,-2.9876,2.4765
2021-01-01 02:32:00,NEW_YORK,40.9068,-74.1100,-3.0180,23.2906
2021-01-01 02:33:00,NEW_YORK,40.5702,-73.9133,-3.3618,17.6758
2021-01-01 02:34:00,NEW_YORK,40.5165,-74.0324,-2.7724,21.9330
2021-01-01 02:35:00,NEW_YORK,40.3682,-73.8826,-4.3349,39.7019
2021-01-01 02:36:00,NEW_YORK,40.6420,-73.9311,-2.5827,10.0918
2021-01-01 02:37:00,NEW_YORK,41.0013,-73.6905,-3.7872,41.6385
2021-01-01 02:38:00,NEW_YORK,40.9864,-73.7452,-2.7399,37.5121
2021-01-01 02:39:00,NEW_YORK,41.2482,-74.0799,-3.1822,59.8630
2021-01-01 02:40:00,NEW_YORK,40.5487,-73.8638,-2.4336,21.8358
2021-01-01 02:41:00,NEW_YORK,40.6429,-73.9633,-2.2669,8.5562
2021-01-01 02:42:00,NEW_YORK,40.9206,-73.9436,-3.0112,23.7074
